Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""KiloEx""",Derivatives,4042027.2330811634,-0.6861512732819014,-3.2079732193754844,-8.106140091104884,0.43,377,,,,1749,,,,7940,,,,757381,63163.50038356165,,,,,,,13743178,,,,18.59,,,,,,,,,,,
"""Merkle Trade""",Derivatives,3999301.4877194585,-6.82997295558157,-17.001405518818892,-20.15671536165909,0.38,14087,14087,,,20029,20029,,,63606,63606,,,2661266,221942.293260274,1676662,,139829.01720547947,,,,2725613,1714585,,,2.02,2.02,14087,20029,63606,1676662,139829.01720547947,1714585,,,,
"""bemo""",Liquid Staking,3998576.7040030174,2.519806157921631,-7.684518219601129,-25.29583737052643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Compound Blue""",Lending,3996226.6798437876,-3.3595716365790915,-995.1510073251306,694.9622132678849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Shadow Exchange""",Dexs,3995577.5165080666,-1.8831913095283326,-15.972921609406912,-40.421382893346056,0.24,3814,3441,2472,,23223,20835,20709,,120268,108773,108169,,40386342,3393785.3435637634,20218802,18961373,1724240.7504473475,1608658.6552874222,,,41902008,20586184,19315347,,0.67,0.74,3441,20835,108773,20218802,1724240.7504473475,20586184,1424762,12792157,49.25,13013122176
"""Credit""",Lending,3992098.075544632,-0.006686856717726064,-0.3663935318761727,-0.23422826630574262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Wombat Exchange""",Dexs,3984254.8401048733,-3.083767362223535,-20.496038942343812,-22.979672152987767,0.07,64,,,,163,,,,603,,,,20647,1721.9032328767123,,,,,,,1004742,,,,40.24,,,,,,,,155476,535379,124.79,3925694032
"""Tigris Mezo""",Dexs,3979446.924880857,-2.0500882431879655,-15.297402182154055,8.9172767277037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hop Protocol""",Cross Chain Bridge,3963503.28901983,-2.012802908069843,-17.20701928589224,-19.580246832689117,0.01,1,,,0,19,,,0,43,,,0,70103,5846.398136986301,,,,,0,,1185272,,,0,135.62,,,,,,,,,,,
"""Fathom""",,3913706.208153107,0.2077146245231199,-0.016941941230593623,-4.798089743064763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Beanstalk Farms""",,3910440.234025953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,529,-46.99,64127512
"""Chakra""",Restaked BTC,3873556.0283368886,-3.6552702415503653,-15.036040882070957,-17.61233123994444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KlaySwap""",Dexs,3867745.9184284136,0.6101230035507114,-17.04686128759931,-13.531901311880407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101477,441016,-42.84,4793553520
"""Radiant""",Lending,3857437.9573532357,-2.007092899417975,-29.083369998179307,-33.73348498492175,2.38,906,770,544,,2385,2027,1432,,11407,9693,6848,,104578,8721.518684931507,88898,62755,7413.849643835617,5233.595068493151,,,29483310,22209242,17689980,,67.15,79.02,770,2027,9693,88898,7413.849643835617,22209242,,,,
"""ETH Strategy""",Onchain Capital Allocator,3821630.3122125273,-0.034364142415699135,0.28881204743118594,0.6006205247987882,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""FlowSwap""",Dexs,3802845.688949829,-3.4539121535795134,-20.592274663946036,30.82917539726359,21.43,428,0,0,,2596,0,0,,13397,0,0,,62490,5211.494794520548,0,0,0,0,,,62918,0,0,,507,,,,,,,,299882,1875943,27.49,29405731
"""Syntropia""",Yield Aggregator,3769326.807502166,-0.012114154460409522,1.3034817808526513,1.7400943048878077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Kintsu""",Liquid Staking,3763639.2655992643,-5.218140515423882,-14.000887898626226,-36.340461593822454,,2013,10,,,11756,60,,,49179,247,,,85698,33444.193846153845,424,,165.46871794871797,,,,87711,434,,,,,10,60,247,424,165.46871794871797,434,,,,
"""Swapscanner""",,3749995.498664267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HiYield""",RWA,3735460.5358951935,0.0067877736923885315,0.048056547445555785,0.2074900531405748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BakerySwap""",Dexs,3734281.503515994,-1.6226579542036323,-19.52408421721493,-22.585884261362622,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Avantgarde""",Risk Curators,3708218.5054589636,-3.1111639597793435,-22.934647107891166,-43.30541076415687,,335,34,,,2255,227,,,9265,928,,,318409,26554.438246575344,31845,,2655.7857534246573,,,,318744,31879,,,,,34,227,928,31845,2655.7857534246573,31879,,,,
"""Rain""",Prediction Market,3670847.1095883874,-3.6725118657774667,-11.302017806623667,142.87542036976956,836.05,0,0,0,,24326,16432,16432,,79377,45769,45769,,383500,33545.22988505747,217101,217101,18990.09896551724,18990.09896551724,,,383500,217101,217101,,3222.01,5587.93,,16432,45769,217101,18990.09896551724,217101,243937,1185785,15.61,11107762
"""Alien Base""",Dexs,3665854.473599793,-2.7894198181346006,-30.43538420137999,-43.57421588793288,0.6,213,,,,3958,,,,13205,,,,524735,43761.46136986301,,,,,,,1601620,,,,14.05,,,,,,,,641587,8173447,-56.19,2807937579
"""Hyperdrive HL""",Lending,3660586.3694291688,-9.329897819171801,-25.45118635586053,-6.790594946370468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Shade Protocol""",,3658529.6491809487,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bunny""",Yield,3651242.196093084,-1.8935284532700083,-14.164019350718405,-15.459731155110559,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ICPSwap""",Dexs,3626042,11.736856280210356,-19.02635342331889,-14.997713216483502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427482,3553285,19.94,524919690
"""DragonSwap Kaia""",Dexs,3602899.218877094,1.5794754292422744,-11.09338884109726,-12.001769812986542,,2420,483,,,14794,2991,,,43781,9264,,,673849,64300.82620689655,134520,,12836.328526645768,,,,1419101,136666,,,,,483,2991,9264,134520,12836.328526645768,136666,929329,8353046,-92.72,2076648909
"""Acala LCDOT""",Liquid Staking,3571656.061854179,-3.1445652182700288,-20.145276083250284,-30.066856717678224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""LTV Protocol""",Leveraged Farming,3567463.7132319864,-4.3751485759864766,-25.480122129477696,-14.402390890690262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""WhaleEx""",Dexs,3543191.10028045,-1.3219460950743382,-5.401579284507414,-6.358906007950954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""StaQ""",Liquid Staking,3540512.103776472,-0.8033640387567672,-7.577064219129075,-17.77840598735051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Pools Finance""",Dexs,3520199.6262805983,-0.43672542608604636,-16.394617904041393,-26.23195057203253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ambient""",Dexs,3471752.7303465903,-3.375381415585658,-19.53462926624669,-26.058648401600465,,1193,0,,,8350,0,,,24817,0,,,721308,60155.11101369863,0,,,,,,8654530,0,,,,,,,,,,,518713,3561356,64.89,5120216507
"""SakeFinance""",Lending,3441572.765843944,-1.1725908091658122,-14.120487057092088,-24.391960104111618,0.13,180,26,0,,2662,301,0,,7545,1128,0,,379533,31652.012383561643,44412,3,3703.8391232876716,0.48063157894736847,,,379955,44474,3,,5.3,35.46,26,301,1128,44412,3703.8391232876716,44474,,,,
"""SuperEarn""",Yield,3431820.1003900343,-12.113771376697164,-12.087176286556627,-9.674407952289888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Mars Protocol""",,3417909.399896168,-2.233340607266667,-23.3607882484895,-61.34745071746601,0.11,0,0,,,0,0,,,0,0,,,93550,9068.987261146498,23384,,2266.907515923567,,,,265386,66341,,,,,,,,23384,2266.907515923567,66341,,,,
"""Ramses Exchange""",Dexs,3414224.4473432787,-4.99210842322378,-21.086287276694318,-39.73575143048126,0.01,56,44,41,,435,336,302,,1016,777,696,,437141,36716.1461716223,338423,304578,28223.55101369863,25400.970739726028,,,6478443,5171457,4771103,,3,3.92,44,336,777,338423,28223.55101369863,5171457,192646,6195358,577.31,21279328448
"""Sentiment""",Lending,3406266.247687939,-2.139420873013132,-75.89043619072065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MoreMarkets.xyz""",Yield,3379635.726540559,-2.4713811568021122,-16.82473502904695,-24.155907367276093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MugenFinance""",Yield Aggregator,3354846.6630753214,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Delea""",CDP,3314905.3400836154,-0.6702335769235348,2.0220999901401355,-6.371358344351686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DoubleUp""",Luck Games,3306811.317576801,-0.9604732319033783,-22.318674078513638,-21.65510888431737,0.87,56590,56590,,,60933,60933,,,104434,104434,,,2374266,198007.27956164384,2374266,,198007.27956164384,,,,2436886,2436886,,,2.32,2.32,56590,60933,104434,2374266,198007.27956164384,2436886,,,,
"""Unslashed""",Insurance,3299805.450088798,-3.963465970695485,-25.252202822273617,-28.06438691397345,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ignition LST""",Liquid Staking,3284938.4199625794,-9.119180694168687,126.3988951642208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SingularV""",Risk Curators,3266368.3267486463,-4.342087481935849,-31.680810474549947,-43.41219836007374,,506,51,,,3194,320,,,17334,1734,,,220001,18347.480657534248,21681,,1808.136,,,,220507,21732,,,,,51,320,1734,21681,1808.136,21732,,,,
"""Messina.one""",,3258938.7387406286,2.918388669749224,-13.496780217475557,-25.78828788479009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Exactly""",Lending,3224302.042633034,-1.6359313852843869,-13.991742733846749,-16.08437020311679,0.23,,,,0,,,,0,,,,0,,,,,,,0,,,,,0,,,,,,,,,,,,
"""Keep3r Network""",Derivatives,3218175.9898462766,-0.5162895387186694,-42.72575713902469,-40.58949658882549,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Rooster Protocol""",Dexs,3202141.62514614,-0.07886897067310389,-1.8612546819836533,-3.1459987071720112,,2,,,,19,,,,57,,,,416843,34763.56416438356,,,,,,,416845,,,,,,,,,,,,3885,32343,17,209254379
"""1inch""",DEX Aggregator,3191513.4936246416,-3.5761242748252,-19.311311253737117,-24.658927256073657,49.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SHUI""",Liquid Staking,3179796.717486708,0.6990127937905879,-15.294203893499144,-27.521356200084263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Everdex""",Dexs,3176826.493534256,-0.8237941684944066,-3.5178721724787607,-26.076513109257792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bridgers""",Dexs,3174548.4814353385,156.97239102243427,81.35781437365802,99.0747946613145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""VanSwap""",Dexs,3156449.855989731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""dTRINITY""",,3153711.8355701156,0.6974720027495769,5.216252749374144,94.29363953910853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Parallel Protocol""",CDP,3109632.2775060646,-3.6222677080057157,-29.87170622982946,-33.42366084285894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Mimo""",Dexs,3102055.1809056737,0.04874943906141632,-10.812867658014094,-14.194458054206304,,203,0,0,,1299,0,0,,5019,0,0,,211495,18237.699150141645,0,0,0,0,,,2113969,0,0,,,,,,,,,,98059,503734,109.58,709372458
"""LuckyFuture""",Derivatives,3101865.987145085,-3.3231618560682836,-5.706306836832154,-21.431199337182626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Guru Network DAO""",,3100993.866878046,-0.25726848216487913,-8.712017014214734,-2.4540739862606387,,1935,11,11,,23243,62,62,,122435,84,84,,5240656,437056.3524383562,428,428,35.69402739726028,35.69402739726028,,,7635578,13339,13339,,,,11,62,84,428,35.69402739726028,13339,1056851,4596049,1752.8999999999999,2483653968
"""Peapods Finance""",Yield,3094419.8902129573,5.289470700972769,-57.819264192571495,-61.43291318380042,1.49,0,0,0,,0,0,0,,49990,49990,0,,1854172,193291.0810958904,1854172,1198940,193291.0810958904,124985.38904109588,,,1854172,1854172,1198940,,7.69,7.69,,,49990,1854172,193291.0810958904,1854172,,,,
"""Surf Lending""",Lending,3074345.8154057814,-3.4228509079557026,-11.699765316370796,-38.30625495967201,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KUMA Protocol""",RWA,3062677.788968587,0.27868309671832037,-1.3848248375811283,1.5813195903171078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Sonic ICP""",Dexs,3054789.903937643,-0.20971894033936447,-3.064122359675634,-3.199920873599843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Carbon Defi""",Dexs,3045930.9540602993,-2.613136999551915,-17.535545946049794,-31.7777415539945,,802,802,,,4637,4637,,,11727,11727,,,218039,18183.855232876715,218039,,18183.855232876715,,,,338852,338852,,,,,802,4637,11727,218039,18183.855232876715,338852,363336,1965662,73.16,296913292
"""BIMA CDP""",CDP,3044412.0984230866,-4.047409099740025,-15.240128932094162,-18.125051280671588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Nirvana""",,3037622.1197677716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DeepLock""",Launchpad,3024902.1897734837,,,-3.3912146024125214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""EmpireDEX""",Dexs,3020305.967985556,-1.4912698850943844,-14.441899650123736,-16.73530069494691,,0,0,,,0,0,,,0,0,,,146,14.290160771704182,0,,,,,,146,0,,,,,,,,,,,162,834,273.99,2897463
"""Solomon USDv""",Basis Trading,3010750.6685103346,0.023642368528615086,0.04571118089298403,0.18150866657373313,2.23,0,0,,,1210,0,,,4648,0,,,40734,5102.645925925925,0,,,,,,40734,0,,,120.58,,,,,,,,,,,
"""SMARDEX Ecosystem""",,2989838.900879216,-0.8611091075474241,-16.610440863386327,-28.537406406830346,,41,34,34,0,435,351,351,0,3389,2452,2452,0,60771,5488.880923373288,41358,12537,3449.783052226028,2271.585,0,0,792694,591729,27088,0,,,34,351,2452,41358,3449.783052226028,591729,0,1432800,1299,84308939
"""Hanji Protocol""",Dexs,2926434.204795699,-1.35703083972375,-9.016988728192068,-8.185096395992497,,2616,2616,,,17337,17337,,,44136,41744,,,192137,16806.46632183908,138544,,12118.618850574714,,,,192137,138544,,,,,2616,17337,41744,138544,12118.618850574714,138544,25468822,150329776,58.03,1069577377
"""Altura""",Liquidity manager,2922769.828895183,-0.15804584693080265,25.06134698256614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""OmniYield""",Yield Aggregator,2902350.9695753185,-0.9606695174916395,-16.033667612714005,-3.0226699389930194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Dexalot""",,2882941.4260932407,-15.951478682918044,-31.89175780145806,-30.790322529044285,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32304874,150846994,69.25,35694202625
"""9MM Pro""",Dexs,2874920.73760862,-0.29096401357636203,-13.584971962110078,-21.712674676094394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,4035,-38.11,498401239
"""Full Sail""",Dexs,2869500.571386243,0.4361381277313708,-18.374346927208112,-20.28287587847085,0.12,6186,6186,5957,,31884,31884,30281,,204576,204576,193242,,734649,90172.24016129033,515742,476257,63303.171290322585,111517.40830769231,,,740835,521928,482214,,0.15,0.15,6186,31884,204576,515742,63303.171290322585,521928,3657449,22396436,46.86,335199971
"""InitiaDEX""",Dexs,2820407.5875439895,-2.795591296262857,-13.015891991999654,-18.781201863588002,,506,,,,7398,,,,16633,,,,1042905,116285.81758241759,,,,,,,1043411,,,,,,,,,,,,177990,2621415,145.26,358156105
"""Nerite""",CDP,2813567.783246608,-3.3757633598457315,-16.865155793361357,-19.349332542831153,,63,0,,,663,0,,,2318,0,,,27025,3974.111111111111,0,,,,,,27088,0,,,,,,,,,,,,,,
"""Rank Trading""",Yield,2782995.054927777,-1.3880156723755892,-16.33301433113303,-23.67543020836669,0.21,0,0,0,,0,0,0,,0,0,0,,215563,21799.793089700997,102447,0,10360.420863787374,,,,215563,102447,0,,,,,,,102447,10360.420863787374,102447,,,,
"""Phoenix""",Dexs,2780564.944452267,-1.3783779153443294,-3.6607800635095313,-23.85763611727771,,1059,1059,,,6993,6993,,,33480,33480,,,1308573,109131.40306849315,1308573,,109131.40306849315,,,,14496923,14496923,,,,,1059,6993,33480,1308573,109131.40306849315,14496923,6223283,28378927,175.06,74890406038
"""Gate Swap""",Dexs,2767587.815317913,-2.1799780492017464,-14.148012401852657,-15.804604380151744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98271,849568,-27.64,19707907
"""Sunny""",Yield,2756136.723624409,-2.1706257036585743,-14.368913209860926,-17.482986421460307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Monday Trade""",,2752034.7833243986,4.556445449994204,22.2672509703795,23.8463440855421,,658,,,,2370,,,,6996,,,,27549,9175.575407437513,,,,,,,27579,,,,,,,,,,,,90591,244304,9.63,56961184
"""NFTX""",NFT Marketplace,2736389.5909464303,-2.5050797070377864,-23.770942628999155,-21.89352814686068,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""iZUMi Finance""",,2734384.5168831176,,,-3.906890274769358,1.94,632,,,,2665,,,,5523,,,,485131,40458.5962739726,,,,,,,1280338,,,,80.21,,,,,,,,428927,1465796,158.74,4294328176
"""Fomo3D""",Farm,2730195.5974033787,-3.4816185470897243,-24.742907303372768,-28.311839194620052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Rumpel Labs""",Synthetics,2716019.0666758977,-2.139595684487595,-21.65582102922155,-32.04611395050413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MilkyWay Protocol""",,2701611.7254508226,,,-0.05177777538315531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GemSwap by Golden Swan Solutions""",RWA,2690842.6068343413,0.009047883218191643,-1.9854909902876008,1.7356930680876237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Capx AI""",AI Agents,2674622.015005765,3.5515167700532473,7.325885392925883,23.63407382928216,7.8,0,0,0,,0,0,0,,0,0,0,,2834,718.8913333333334,0,0,,,,,2834,0,0,,,,,,,,,,,,,
"""Pangolin""",Dexs,2660927.3201164426,0.4172336644923326,-6.130643850942032,-13.1862980200655,2.28,547,98,70,,3225,585,398,,13529,2441,1689,,337848,29246.225193544014,58383,45240,5082.872273430083,3879.871197793752,,,54075466,9014644,682404,,37.51,207.91,98,585,2441,58383,5082.872273430083,9014644,2206323,12473092,115.17,18919079840
"""Angstrom""",Dexs,2650988.1345584206,-1.9756358770921905,-15.873454646157938,-18.075534784385066,,175,0,,,1364,0,,,4657,0,,,20029,3142.6946391752576,0,,,,,,20204,0,,,,,,,,,,,4207451,22456870,16.64,766593154
"""Escher""",Liquid Staking,2650969.9422254427,-6.51530715571841,-19.082462095142606,-54.040443064288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hybra""",Dexs,2649740.266928681,-4.228453256697772,-13.56007478471859,-34.94712145534643,,9500,8060,7581,,74969,55659,49226,,197957,153036,138066,,6753021,1026191.9600777117,1860039,229933,305074.1927752976,134599.2407692308,,,6762521,1868099,237514,,,,8060,55659,153036,1860039,305074.1927752976,1868099,9093698,50599632,380.33000000000004,3741876655
"""Mendi Finance""",Lending,2637595.0985717005,-4.93963017985347,-24.210998416075295,-29.005989959938333,0.12,96,14,14,,722,106,106,,3444,511,511,,155832,12995.9618630137,22788,22788,1900.4567671232878,1900.4567671232878,,,564637,80930,80930,,7.84,52.87,14,106,511,22788,1900.4567671232878,80930,,,,
"""The Arena""",,2610504.293184734,-0.5841955682271684,-17.23377633333903,-31.630436631732834,2.38,431,162,,,2292,832,,,10895,4944,,,3070091,293631.68907044677,2387199,,254040.32531413058,,,,8840663,3579637,,,47.53,104.74,162,832,4944,2387199,254040.32531413058,3579637,35733,163579,-92.42999999999999,555428152
"""BlazeSwap""",Dexs,2602426.007422328,-0.7083286066399268,-6.726933513396863,-17.270102293377697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PuzzleSwapOrg""",,2578365.0982257933,6.7532052528526245,-26.628763413504185,-32.126209746550835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Neptune Finance""",Lending,2578209.1246292368,-1.1117212583187355,-17.26080383287097,-28.285184874663226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Stratis mSTRAX""",Liquid Staking,2576082.8525820337,-2.614458449855088,-15.931537631828455,-13.85143134555705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GlowSwap""",Dexs,2558978.144377624,-3.2053568598057365,-14.063086402204004,-17.03644606470181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ClayStack""",,2554107.64962098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KongSwap""",Dexs,2550169,-0.5296542405883886,-10.197538237467048,-9.607997637912218,,354,,,,2849,,,,13354,,,,264361,27003.855167785234,,,,,,,264715,,,,,,,,,,,,156292,1231199,23.31,99358685
"""Phoenix DeFi Hub""",Dexs,2537417.4617403443,-0.394727922330995,-38.88455796966202,-42.61797168687155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Privacy Pools""",Privacy,2523174.1637209365,-4.200033645929788,-23.609799348081882,-12.137158778097799,,0,,,,0,,,,2444,,,,36745,3064.432328767123,,,,,,,36745,,,,,,,,,,,,,,,
"""Reflexer""",CDP,2500030.7021434843,-4.530001347537956,-25.604044983918172,-29.10636273723584,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KLAYstation""",Liquid Staking,2490720.11183922,3.4754308227790145,-1.4777397639767897,7.563259546351889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Web3.world""",Dexs,2476071,-0.8911138382618178,-10.058159027580768,-14.900507592231147,,0,,,,0,,,,0,,,,38300,3194.115068493151,,,,,,,507382,,,,,,,,,,,,15432,165334,-50.31,223743047
"""REX Staking""",Lending,2469450.92690463,-3.3608156223153554,-9.149432287468368,-6.562781771076249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Trueo""",Prediction Market,2466711.9733403735,0.022551183063731193,0.17122095075264646,-3.553003854042917,0.56,0,0,0,,5,5,0,,42,42,0,,56,5.134457831325301,56,0,5.134457831325301,,,,56,56,0,,2742.27,2742.27,,5,42,56,5.134457831325301,56,1069,5647,-33.72,528066
"""International Stable Currency""",RWA,2453549.933045943,1.3368005301003194,-1.0027231278179303,-1.9487439934296282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Denario""",RWA,2445547.891039362,5.958563598634773,-24.795072301711926,14.543062489119224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Kittenswap Finance""",Dexs,2442673.0512049925,-1.131040218422688,3.213314829779966,-1.1716117296862687,,6371,5970,5970,,32899,30360,30360,,64209,59752,59752,,4772682,504048.20974180265,1136164,1136164,140588.7486178862,203440.1891764706,,,4778743,1142134,1142134,,,,5970,30360,59752,1136164,140588.7486178862,1142134,2117113,18722997,69.42,1029330271
"""USX.Capital""",Stablecoin,2441157.2291517896,-0.7344645864276542,-30.30891757471531,-38.759160541187995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Phiat Protocol""",Lending,2395944.2912182915,-0.6027167522329967,-11.732368989573704,-17.389416427952344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Elys Protocol""",,2383417.924055214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,17225,-38.94,65819768
"""Gnosis Protocol v1""",Prediction Market,2374905.072764285,-2.5890860106596887,-19.480209629608495,-22.973601880790483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Arch""",Indexes,2363067.7378873234,-2.6157439937651112,-20.299849773492365,-24.85097437563795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Opyn""",,2353997.762609253,-3.8040582474682414,-24.38338192135962,-27.671225003716867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NerveSwap""",Dexs,2349352,-0.09385263138198956,0.1414728607824357,-0.5047283876896754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""TokenWorks""",NFT Automated Strategies,2346175.3309640326,-5.759601801698193,-30.970579313203817,-35.53993472669703,,42362,208,0,,368175,3196,0,,2934484,13078,0,,45455810,3790890.0175342467,835629,0,69689.16920547945,,,,45498172,835837,0,,,,208,3196,13078,835629,69689.16920547945,835837,,,,
"""Universe XYZ""",Yield,2342312.435238749,-1.7837634036054903,-20.342673239752916,-23.237292532438943,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ethos""",SoFi,2333579.4749910906,-5.021607299289658,-27.362412818857084,-32.10657059301557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aria Protocol""",RWA,2307375.086522722,0,1.822566826945219,-51.7260145668824,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Mitosis""",Onchain Capital Allocator,2306422.070477531,-1.6891194689271891,14.516172636933936,18.480464333908998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SuperReturn""",Onchain Capital Allocator,2305515.0219354774,-0.30264208788345204,1.5826798731223704,4.663113444086087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GOLDSTATION""",,2304952.5363546126,2.2139984402520763,-10.52528197941067,-18.791505413785462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
